"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.0741120609137,0.275009777778,-1.41725906173
0.1,-0.0587456609137,0.218452888889,-1.80516241975
0.15,-0.0474952609137,0.118083466667,-2.28448162963
0.2,-0.0447512609137,-0.0207324444444,-2.5419602963
0.25,-0.0499648609137,-0.160981333333,-2.29198528395
0.3,-0.0623128609137,-0.267844888889,-1.60190316049
0.35,-0.0785024609137,-0.330042222222,-0.663641481481
0.4,-0.0974360609137,-0.338731555556,0.387632345679
0.45,-0.114723260914,-0.289796888889,1.39258
0.5,-0.128443260914,-0.190860444444,2.17690666667
0.55,-0.135303260914,-0.0564044444444,2.57461728395
0.6,-0.134480060914,0.0870457777778,2.48738518519
0.65,-0.125699260914,0.210525777778,1.96162123457
0.7,-0.111704860914,0.293455555556,1.15823901235
0.75,-0.0946920609137,0.332176444444,0.198601234568
0.8,-0.0763072609137,0.316627111111,-0.822268395062
0.85,-0.0606664609137,0.244825777778,-1.71432246914
0.9,-0.0502392609137,0.133084,-2.3154617284
0.95,-0.0463976609137,-0.00228666666667,-2.53244098765
1,-0.0505136609137,-0.137047555556,-2.3281654321
1.05,-0.0609408609137,-0.250618666667,-1.73278518519
1.1,-0.0771304609137,-0.324249333333,-0.803805679012
1.15,-0.0957896609137,-0.338884,0.300908395062
1.2,-0.113625660914,-0.291321333333,1.33778469136
1.25,-0.127071260914,-0.191927555556,2.07951160494
1.3,-0.133656860914,-0.0678377777778,2.44503950617
1.35,-0.134205660914,0.0655511111111,2.45596469136
1.4,-0.127071260914,0.194214222222,2.05867753086
1.45,-0.113351260914,0.288272444444,1.27155604938
1.5,-0.0960640609137,0.330347111111,0.265930864198
1.55,-0.0779536609137,0.314645333333,-0.748756296296
1.6,-0.0625872609137,0.248484444444,-1.60295333333
1.65,-0.0516112609137,0.14406,-2.19757135802
1.7,-0.0472208609137,0.0158542222222,-2.45672691358
1.75,-0.0496904609137,-0.118296888889,-2.3059762963
1.8,-0.0598432609137,-0.232782666667,-1.73524123457
1.85,-0.0749352609137,-0.302449777778,-0.894679506173
1.9,-0.0919480609137,-0.325011555556,0.0464955555556
1.95,-0.109235260914,-0.299400888889,1.01646567901
2,-0.124052860914,-0.221196888889,1.89539259259
2.05,-0.133382460914,-0.0968022222222,2.45206888889
2.1,-0.134480060914,0.0455808888889,2.51101407407
2.15,-0.128168860914,0.174091555556,2.10085382716
2.2,-0.115546460914,0.267235111111,1.39020864198
2.25,-0.0996312609137,0.317084444444,0.53423308642
2.3,-0.0823440609137,0.323792,-0.414140740741
2.35,-0.0656056609137,0.284004,-1.4696491358
2.4,-0.0502392609137,0.168451111111,-2.29886222222
2.45,-0.0474952609137,0.0227142222222,-2.48789333333
2.5,-0.0496904609137,-0.0969546666667,-2.25880320988
2.55,-0.0573736609137,-0.207019555556,-1.83238222222
2.6,-0.0710936609137,-0.292693333333,-1.11098123457
2.65,-0.0886552609137,-0.330804444444,-0.124665679012
2.7,-0.106765660914,-0.307632888889,0.919409382716
2.75,-0.121583260914,-0.230953333333,1.78343061728
2.8,-0.131461660914,-0.115095555556,2.31190469136
2.85,-0.133656860914,0.016464,2.44436197531
2.9,-0.129540860914,0.142840444444,2.21730444444
2.95,-0.118839260914,0.252448,1.62853012346
3,-0.102649660914,0.320590666667,0.700820987654
3.05,-0.0842648609137,0.32928,-0.380772345679
3.1,-0.0672520609137,0.278058666667,-1.36793481481
3.15,-0.0546296609137,0.180799111111,-2.0795962963
3.2,-0.0480440609137,0.0551848888889,-2.42471358025
3.25,-0.0488672609137,-0.0772893333333,-2.37728641975
3.3,-0.0562760609137,-0.197110666667,-1.95840296296
