"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.556978016202,-0.0115857777778,0.981030814815
0.1,-0.558898816202,0.0298791111111,1.18329918519
0.15,-0.556978016202,0.0956741333333,1.42393274074
0.2,-0.550118016202,0.176378222222,1.575056
0.25,-0.539416416202,0.263576444444,1.51404434568
0.3,-0.523226816202,0.337664444444,1.23415634568
0.35,-0.504567616202,0.389038222222,0.87977382716
0.4,-0.483713216202,0.423490666667,0.530506666667
0.45,-0.462035616202,0.446662222222,0.0936686419753
0.5,-0.437614016202,0.438277777778,-0.43218
0.55,-0.416759616202,0.398032444444,-0.858939753086
0.6,-0.397551616202,0.346201333333,-1.16044098765
0.65,-0.381636416202,0.280650222222,-1.40858666667
0.7,-0.369014016202,0.204123111111,-1.61430197531
0.75,-0.360782016202,0.116772444444,-1.76115679012
0.8,-0.357214816202,0.0253057777778,-1.83593925926
0.85,-0.358038016202,-0.0701244444444,-1.82450592593
0.9,-0.364349216202,-0.162200888889,-1.69907802469
0.95,-0.374776416202,-0.242996444444,-1.49878296296
1,-0.389045216202,-0.313120888889,-1.26257876543
1.05,-0.406606816202,-0.37044,-0.988856296296
1.1,-0.426638016202,-0.413276888889,-0.668892345679
1.15,-0.448315616202,-0.442546222222,-0.239337777778
1.2,-0.472188416202,-0.442088888889,0.283038518519
1.25,-0.493866016202,-0.411142666667,0.754345925926
1.3,-0.513897216202,-0.362512888889,1.14968518519
1.35,-0.530635616202,-0.295894666667,1.49691975309
1.4,-0.544355616202,-0.211592888889,1.75209481481
1.45,-0.553410816202,-0.101832888889,1.6569017284
1.5,-0.552038816202,-0.0338426666667,1.35955037037
1.55,-0.555331616202,0.0100613333333,1.4664308642
1.6,-0.553959616202,0.102290222222,1.7571762963
1.65,-0.545453216202,0.202598666667,1.75988641975
1.7,-0.532830816202,0.289492,1.51665283951
1.75,-0.515818016202,0.358244444444,1.1488382716
1.8,-0.496061216202,0.404587555556,0.755108148148
1.85,-0.474658016202,0.432332444444,0.36959308642
1.9,-0.452431616202,0.445137777778,-0.0832516049383
1.95,-0.428833216202,0.428064,-0.599530123457
2,-0.408253216202,0.380348888889,-1.02044617284
2.05,-0.390417216202,0.319523555556,-1.30560197531
2.1,-0.375874016202,0.24696,-1.51191012346
2.15,-0.365446816202,0.166926666667,-1.67104518519
2.2,-0.358861216202,0.0789662222222,-1.79444049383
2.25,-0.357214816202,-0.0158542222222,-1.83593925926
2.3,-0.360507616202,-0.109455111111,-1.76810148148
2.35,-0.368465216202,-0.196196,-1.61303160494
2.4,-0.380538816202,-0.272570666667,-1.40765506173
2.45,-0.396179616202,-0.337969333333,-1.16628469136
2.5,-0.414838816202,-0.390105333333,-0.881637037037
2.55,-0.435418816202,-0.431722666667,-0.475965432099
2.6,-0.459291616202,-0.444375555556,0.0662286419753
2.65,-0.481243616202,-0.423948,0.596227160494
2.7,-0.502372416202,-0.382940444444,1.06956716049
2.75,-0.521031616202,-0.310224444444,1.37962222222
2.8,-0.533379616202,-0.234307111111,1.45321901235
2.85,-0.544355616202,-0.160219111111,1.40672345679
2.9,-0.549294816202,-0.0899422222222,1.29713283951
2.95,-0.552313216202,-0.0371964444444,1.33524395062
3,-0.553685216202,0.0307937777778,1.6121
3.05,-0.550392416202,0.122108,1.90047407407
3.1,-0.542709216202,0.235526666667,1.88522962963
3.15,-0.525970816202,0.331414222222,1.45160987654
3.2,-0.507311616202,0.382483111111,0.936855802469
3.25,-0.487280416202,0.417392888889,0.533470864198
3.3,-0.465054016202,0.435228888889,0.148040493827
3.35,-0.443102016202,0.435533777778,-0.285748641975
3.4,-0.420326816202,0.408703555556,-0.751297037037
3.45,-0.401118816202,0.355957777778,-1.1286817284
3.5,-0.384380416202,0.291168888889,-1.40189604938
3.55,-0.371483616202,0.213422222222,-1.60405432099
3.6,-0.362702816202,0.127748444444,-1.73100666667
3.65,-0.358586816202,0.0378062222222,-1.79215382716
3.7,-0.358861216202,-0.0533555555556,-1.79452518519
3.75,-0.363800416202,-0.145736888889,-1.70314320988
3.8,-0.373953216202,-0.227294666667,-1.52512197531
3.85,-0.386850016202,-0.299705777778,-1.30212962963
3.9,-0.404411616202,-0.359921333333,-1.02002271605
3.95,-0.423619616202,-0.401996,-0.708527901235
4,-0.444748416202,-0.434771555556,-0.306498024691
4.05,-0.468346816202,-0.438735111111,0.21181308642
4.1,-0.490024416202,-0.411904888889,0.71945308642
4.15,-0.510055616202,-0.364799555556,1.18119037037
4.2,-0.527342816202,-0.296047111111,1.61489481481
4.25,-0.541886016202,-0.188573777778,1.74159308642
4.3,-0.544904416202,-0.101832888889,1.49488716049
4.35,-0.550118016202,-0.0481724444444,1.36395432099
4.4,-0.551215616202,0.0251533333333,1.39554419753
4.45,-0.547648416202,0.098784,1.35184345679
4.5,-0.539965216202,0.154121333333,1.4173945679
4.55,-0.533654016202,0.232935111111,1.57127876543
4.6,-0.517738816202,0.327450666667,1.41671703704
4.65,-0.499079616202,0.388885777778,0.971155802469
4.7,-0.477676416202,0.423185777778,0.491125185185
4.75,-0.456273216202,0.438125333333,-0.00491209876543
4.8,-0.432674816202,0.425015111111,-0.52051308642
4.85,-0.412369216202,0.381111111111,-0.933129382716
4.9,-0.394258816202,0.325468888889,-1.2178617284
4.95,-0.379441216202,0.258240888889,-1.45584444444
5,-0.367916416202,0.179122222222,-1.65563135802
5.05,-0.361056416202,0.0894848888889,-1.7803817284
5.1,-0.358861216202,-0.00350622222222,-1.80240148148
5.15,-0.361605216202,-0.093296,-1.75073975309
5.2,-0.368190816202,-0.180951555556,-1.63242592593
5.25,-0.379990016202,-0.260832444444,-1.42501679012
5.3,-0.395082016202,-0.324249333333,-1.18212197531
5.35,-0.412643616202,-0.378824444444,-0.914497283951
5.4,-0.433223616202,-0.422271111111,-0.517887654321
5.45,-0.456273216202,-0.435228888889,-0.0362479012346
5.5,-0.477950816202,-0.421661333333,0.388140493827
5.55,-0.498805216202,-0.393154222222,0.768404691358
5.6,-0.517464416202,-0.351994222222,1.24343851852
5.65,-0.536123616202,-0.269674222222,1.68086938272
5.7,-0.545727616202,-0.162810666667,1.71203580247
5.75,-0.550666816202,-0.0849115555556,1.47456123457
5.8,-0.553410816202,-0.0234764444444,1.37081432099
