"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,-0.122069374126,0.0277448888889,1.1002254321
0.1,-0.122343774126,0.0767557777778,1.21527864198
0.15,-0.117678974126,0.147261333333,1.24630955556
0.2,-0.107800574126,0.218300444444,0.958917901235
0.25,-0.0943549741265,0.260832444444,0.290364320988
0.3,-0.0795373741265,0.252905333333,-0.526356790123
0.35,-0.0674637741265,0.203208444444,-1.24462419753
0.4,-0.0578597741265,0.120126222222,-1.74752148148
0.45,-0.0542925741265,0.0129577777778,-1.90055876543
0.5,-0.0573109741265,-0.0833871111111,-1.73414024691
0.55,-0.0633477741265,-0.163572888889,-1.41485382716
0.6,-0.0735005741265,-0.236136444444,-0.835480246914
0.65,-0.0891413741265,-0.26068,0.00609777777778
0.7,-0.102038174126,-0.230953333333,0.781785925926
0.75,-0.113014174126,-0.174244,1.38402617284
0.8,-0.120697374126,-0.0870457777778,1.80917679012
0.85,-0.122618174126,0.0184457777778,1.94112592593
0.9,-0.118776574126,0.122565333333,1.71720197531
0.95,-0.109172574126,0.201074222222,1.21007012346
1,-0.0976477741265,0.250618666667,0.512128641975
1.05,-0.0825557741265,0.260070222222,-0.340035802469
1.1,-0.0691101741265,0.213727111111,-1.12758074074
1.15,-0.0600549741265,0.135828,-1.66410049383
1.2,-0.0548413741265,0.0382635555556,-1.94375135802
1.25,-0.0553901741265,-0.0733257777778,-1.86464962963
1.3,-0.0630733741265,-0.165402222222,-1.41061925926
1.35,-0.0737749741265,-0.218910222222,-0.808040246914
1.4,-0.0858485741265,-0.245435555556,-0.169382716049
1.45,-0.0992941741265,-0.241929333333,0.57751037037
1.5,-0.112190974126,-0.190098222222,1.33397358025
1.55,-0.120148574126,-0.0969546666667,1.83170469136
1.6,-0.122343774126,0.0102137777778,1.94061777778
1.65,-0.118776574126,0.110522222222,1.71195111111
1.7,-0.110544574126,0.191470222222,1.22726246914
1.75,-0.0981965741265,0.239185333333,0.579627654321
1.8,-0.0852997741265,0.251685777778,-0.144737530864
1.85,-0.0718541741265,0.229733777778,-0.94109037037
1.9,-0.0597805741265,0.153968888889,-1.62310987654
1.95,-0.0551157741265,0.0475626666667,-1.89750987654
2,-0.0559389741265,-0.0481724444444,-1.85889061728
2.05,-0.0597805741265,-0.143297777778,-1.62039975309
2.1,-0.0704821741265,-0.225465333333,-1.04212716049
2.15,-0.0844765741265,-0.260222666667,-0.202581728395
2.2,-0.0987453741265,-0.243758666667,0.621126419753
2.25,-0.110270174126,-0.189183555556,1.26215530864
2.3,-0.118502174126,-0.110522222222,1.70949506173
2.35,-0.122343774126,-0.00945155555556,1.9171582716
2.4,-0.119599774126,0.0949728888889,1.79156098765
2.45,-0.112190974126,0.183085777778,1.34269679012
2.5,-0.100117374126,0.240862222222,0.632559753086
2.55,-0.0858485741265,0.248636888889,-0.143043703704
2.6,-0.0737749741265,0.219062666667,-0.791440740741
2.65,-0.0633477741265,0.166926666667,-1.35870345679
2.7,-0.0556645741265,0.0821675555556,-1.83407604938
2.75,-0.0537437741265,-0.0300315555556,-1.98829901235
2.8,-0.0589573741265,-0.136742666667,-1.69975555556
2.85,-0.0688357741265,-0.21266,-1.09793876543
2.9,-0.0817325741265,-0.250923555556,-0.35799037037
2.95,-0.0954525741265,-0.249704,0.41930691358
3,-0.108349374126,-0.207476888889,1.14731382716
3.05,-0.117678974126,-0.128815555556,1.70847876543
